Merge ID,Track ID,Merge Type,Vehicle Size,Avg MPH,Merge Duration (s),,Group
51,465,LATE,BIG,5.7,0.7,,LATE BIG
52,463,MERGING,BIG,3.7,1.67,,MERGING BIG
53,468,LATE,BIG,5,1.63,,LATE BIG
54,471,MERGING,BIG,4.1,1.23,,MERGING BIG
55,488,LATE,BIG,6.2,0.63,,LATE BIG
56,487,MERGING,BIG,3.7,2.43,,MERGING BIG
57,490,LATE,BIG,2,2.63,,LATE BIG
58,491,LATE,BIG,7.8,2.2,,LATE BIG
59,498,MERGING,BIG,6.1,0.63,,MERGING BIG
60,506,LATE,BIG,11.4,1.53,,LATE BIG
61,517,LATE,BIG,9,1.2,,LATE BIG
62,528,MERGING,BIG,3.2,1.2,,MERGING BIG
63,531,MERGING,BIG,6.3,0.63,,MERGING BIG
64,547,MERGING,BIG,3,0.63,,MERGING BIG
1,13,MERGING,SMALL,1.1,0.63,,MERGING SMALL
2,12,MERGING,SMALL,1.7,0.63,,MERGING SMALL
3,11,MERGING,SMALL,1,0.63,,MERGING SMALL
4,10,MERGING,SMALL,2.6,0.63,,MERGING SMALL
5,6,MERGING,SMALL,1.3,0.63,,MERGING SMALL
6,3,EARLY,SMALL,1,0.63,,EARLY SMALL
7,5,MERGING,SMALL,3.2,1.23,,MERGING SMALL
8,16,MERGING,SMALL,1.9,1.33,,MERGING SMALL
9,21,LATE,BIG,4.2,0.63,,LATE BIG
10,24,MERGING,BIG,1.6,0.63,,MERGING BIG
11,18,MERGING,BIG,3.8,3.63,,MERGING BIG
12,1,MERGING,SMALL,3.2,3.63,,MERGING SMALL
13,31,MERGING,BIG,3.4,0.8,,MERGING BIG
14,35,MERGING,BIG,3.7,0.73,,MERGING BIG
15,37,MERGING,SMALL,2.8,2.43,,MERGING SMALL
16,43,MERGING,BIG,2.7,3.53,,MERGING BIG
17,51,MERGING,BIG,1.3,2.93,,MERGING BIG
18,61,MERGING,SMALL,3.3,0.63,,MERGING SMALL
19,60,MERGING,BIG,0.4,1.47,,MERGING BIG
20,59,LATE,BIG,2.8,3.03,,LATE BIG
21,52,MERGING,BIG,3.2,7.77,,MERGING BIG
22,84,LATE,SMALL,2.1,0.63,,LATE SMALL
23,90,MERGING,SMALL,2.1,1,,MERGING SMALL
24,91,LATE,BIG,2.8,1.17,,LATE BIG
25,104,MERGING,SMALL,3.2,0.8,,MERGING SMALL
26,108,LATE,BIG,1.6,1.1,,LATE BIG
27,107,MERGING,BIG,1.6,1.33,,MERGING BIG
28,115,LATE,SMALL,2.6,0.63,,LATE SMALL
29,123,MERGING,SMALL,5,1.1,,MERGING SMALL
30,131,MERGING,BIG,3,0.77,,MERGING BIG
31,125,LATE,BIG,7.2,2.77,,LATE BIG
32,138,LATE,SMALL,4.2,0.63,,LATE SMALL
33,156,MERGING,SMALL,5.3,0.63,,MERGING SMALL
34,165,MERGING,BIG,5.1,0.7,,MERGING BIG
35,167,MERGING,SMALL,9.7,1.87,,MERGING SMALL
1,13,MERGING,SMALL,1.1,0.63,,MERGING SMALL
2,12,MERGING,SMALL,1.7,0.63,,MERGING SMALL
3,11,MERGING,SMALL,1,0.63,,MERGING SMALL
4,10,MERGING,SMALL,2.6,0.63,,MERGING SMALL
5,6,MERGING,SMALL,1.3,0.63,,MERGING SMALL
67,253,EARLY,SMALL,2.5,0.73,,EARLY SMALL
68,169,EARLY,SMALL,1.4,0.84,,EARLY SMALL
69,130,EARLY,SMALL,2,0.53,,EARLY SMALL
70,240,EARLY,SMALL,3.5,0.48,,EARLY SMALL
6,3,EARLY,SMALL,1,0.63,,EARLY SMALL
7,5,MERGING,SMALL,3.2,1.23,,MERGING SMALL
8,16,MERGING,SMALL,1.9,1.33,,MERGING SMALL
9,21,LATE,BIG,4.2,0.63,,LATE BIG
10,24,MERGING,BIG,1.6,0.63,,MERGING BIG
11,18,MERGING,BIG,3.8,3.63,,MERGING BIG
12,1,MERGING,SMALL,3.2,3.63,,MERGING SMALL
13,31,MERGING,BIG,3.4,0.8,,MERGING BIG
14,35,MERGING,BIG,3.7,0.73,,MERGING BIG
15,37,MERGING,SMALL,2.8,2.43,,MERGING SMALL
16,43,MERGING,BIG,2.7,3.53,,MERGING BIG
17,51,MERGING,BIG,1.3,2.93,,MERGING BIG
18,61,MERGING,SMALL,3.3,0.63,,MERGING SMALL
19,60,MERGING,BIG,0.4,1.47,,MERGING BIG
20,59,LATE,BIG,2.8,3.03,,LATE BIG
21,52,MERGING,BIG,3.2,7.77,,MERGING BIG
22,84,LATE,SMALL,2.1,0.63,,LATE SMALL
23,90,MERGING,SMALL,2.1,1,,MERGING SMALL
24,91,LATE,BIG,2.8,1.17,,LATE BIG
25,104,MERGING,SMALL,3.2,0.8,,MERGING SMALL
26,108,LATE,BIG,1.6,1.1,,LATE BIG
27,107,MERGING,BIG,1.6,1.33,,MERGING BIG
28,115,LATE,SMALL,2.6,0.63,,LATE SMALL
29,123,MERGING,SMALL,5,1.1,,MERGING SMALL
30,131,MERGING,BIG,3,0.77,,MERGING BIG
31,125,LATE,BIG,7.2,2.77,,LATE BIG
32,138,LATE,SMALL,4.2,0.63,,LATE SMALL
33,156,MERGING,SMALL,5.3,0.63,,MERGING SMALL
34,165,MERGING,BIG,5.1,0.7,,MERGING BIG
35,167,MERGING,SMALL,9.7,1.87,,MERGING SMALL
